Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Risk
no checking account,24,critical account/other credits existing (not at this bank),business,4139,between 100 to 500 DM,between 1 to 4 years,3,male : single,none,3,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,Good
no checking account,36,existing credits paid back duly till now,business,5742,between 100 to 500 DM,between 4 to 7 years,2,male : single,none,2,"car or other, not in attribute 6",31,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,60,existing credits paid back duly till now,car (new),10366,less than 100 DM,more than 7 years,2,male : single,none,4,building society savings agreement/life insurance,42,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,6,critical account/other credits existing (not at this bank),car (new),2080,between 500 to 1000 DM,between 1 to 4 years,1,male : married/widowed,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,21,delay in paying off in the past,business,2580,between 500 to 1000 DM,less than 1 year,4,male : single,none,2,real estate,41,bank,own,1,unskilled - resident,2,none,yes,Bad
no checking account,30,critical account/other credits existing (not at this bank),radio/television,4530,less than 100 DM,between 4 to 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,24,critical account/other credits existing (not at this bank),furniture/equipment,5150,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,72,existing credits paid back duly till now,radio/television,5595,between 100 to 500 DM,between 1 to 4 years,2,male : married/widowed,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,Bad
less than 0 DM,24,existing credits paid back duly till now,radio/television,2384,less than 100 DM,more than 7 years,4,male : single,none,4,real estate,64,bank,rent,1,unskilled - resident,1,none,yes,Good
no checking account,18,existing credits paid back duly till now,radio/television,1453,less than 100 DM,less than 1 year,3,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,6,existing credits paid back duly till now,education,1538,less than 100 DM,less than 1 year,1,female : divorced/separated/married,none,2,unknown / no property,56,none,own,1,skilled employee / official,1,none,yes,Good
no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,between 1 to 4 years,4,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,15,delay in paying off in the past,radio/television,1478,less than 100 DM,between 1 to 4 years,4,male : married/widowed,none,3,real estate,33,bank,own,2,skilled employee / official,1,none,yes,Good
no checking account,24,critical account/other credits existing (not at this bank),radio/television,5103,less than 100 DM,less than 1 year,3,male : married/widowed,none,3,unknown / no property,47,none,for free,3,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,36,delay in paying off in the past,business,9857,between 100 to 500 DM,between 4 to 7 years,1,male : single,none,3,building society savings agreement/life insurance,31,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,Good
no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/ no savings account,between 1 to 4 years,4,male : single,none,4,unknown / no property,34,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,Good
more than 200 DM / salary assignments for at least 1 year,10,critical account/other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,between 4 to 7 years,4,male : single,none,2,building society savings agreement/life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,36,delay in paying off in the past,car (new),2862,between 100 to 500 DM,more than 7 years,4,male : single,none,3,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,Good
no checking account,9,existing credits paid back duly till now,radio/television,2753,between 100 to 500 DM,more than 7 years,3,male : single,co-applicant,4,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
less than 0 DM,12,existing credits paid back duly till now,car (new),3651,more than 1000 DM,between 1 to 4 years,1,male : single,none,3,building society savings agreement/life insurance,31,none,own,1,skilled employee / official,2,none,yes,Good
less than 0 DM,15,critical account/other credits existing (not at this bank),furniture/equipment,975,less than 100 DM,between 1 to 4 years,2,male : divorced/separated,none,3,building society savings agreement/life insurance,25,none,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,15,existing credits paid back duly till now,repairs,2631,between 100 to 500 DM,between 1 to 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,Good
between 0 to 200 DM,24,existing credits paid back duly till now,radio/television,2896,between 100 to 500 DM,less than 1 year,2,male : single,none,1,"car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,yes,Good
less than 0 DM,6,critical account/other credits existing (not at this bank),car (new),4716,unknown/ no savings account,less than 1 year,1,male : single,none,3,real estate,44,none,own,2,unskilled - resident,2,none,yes,Good
no checking account,24,existing credits paid back duly till now,radio/television,2284,less than 100 DM,between 4 to 7 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
no checking account,6,existing credits paid back duly till now,car (used),1236,between 500 to 1000 DM,between 1 to 4 years,2,male : single,none,4,building society savings agreement/life insurance,50,none,rent,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,12,existing credits paid back duly till now,radio/television,1103,less than 100 DM,between 4 to 7 years,4,male : single,gaurantor,3,real estate,29,none,own,2,skilled employee / official,1,none,no,Good
no checking account,12,critical account/other credits existing (not at this bank),car (new),926,less than 100 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,38,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Good
no checking account,18,critical account/other credits existing (not at this bank),radio/television,1800,less than 100 DM,between 1 to 4 years,4,male : single,none,2,"car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,none,yes,Good
more than 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,1905,less than 100 DM,more than 7 years,4,male : single,none,4,"car or other, not in attribute 6",40,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,Good
no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,between 500 to 1000 DM,between 1 to 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",29,none,rent,1,unskilled - resident,1,none,yes,Bad
less than 0 DM,48,critical account/other credits existing (not at this bank),car (used),6331,less than 100 DM,more than 7 years,4,male : single,none,4,unknown / no property,46,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,Bad
more than 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1377,between 100 to 500 DM,more than 7 years,4,female : divorced/separated/married,none,2,unknown / no property,47,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,Good
between 0 to 200 DM,30,delay in paying off in the past,business,2503,between 100 to 500 DM,more than 7 years,4,male : single,none,2,building society savings agreement/life insurance,41,stores,own,2,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,27,existing credits paid back duly till now,business,2528,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,32,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,Good
no checking account,15,existing credits paid back duly till now,car (new),5324,between 500 to 1000 DM,more than 7 years,1,female : divorced/separated/married,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1,none,yes,Good
between 0 to 200 DM,48,existing credits paid back duly till now,car (new),6560,between 100 to 500 DM,between 4 to 7 years,3,male : single,none,2,building society savings agreement/life insurance,24,none,own,1,skilled employee / official,1,none,yes,Bad
between 0 to 200 DM,12,no credits taken/ all credits paid back duly,furniture/equipment,2969,less than 100 DM,less than 1 year,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,25,none,rent,2,skilled employee / official,1,none,yes,Bad
